symbol,symbolname,granularity,timepoint,value,predictedvalue
.COCOSUSDTMFPI8H,COCOSUSDTM,28800000,1683489600000,0.0001,0.0001
.SSVUSDTMFPI8H,SSVUSDTM,28800000,1683489600000,0.0001,0.0001
.FLOKIUSDTMFPI8H,FLOKIUSDTM,28800000,1683489600000,-0.000537,-0.000042
.CKBUSDTMFPI8H,CKBUSDTM,28800000,1683489600000,0.0001,0.0001
.TRUUSDTMFPI8H,TRUUSDTM,28800000,1683489600000,0.0001,0.0001
.QNTUSDTMFPI8H,QNTUSDTM,28800000,1683489600000,0.0001,0.0001
.ETHUSDCMFPI8H,ETHUSDCM,28800000,1683489600000,0.0001,0.0001
.MINAUSDTMFPI8H,MINAUSDTM,28800000,1683489600000,0.0001,0.0001
.USDCUSDTMFPI8H,USDCUSDTM,28800000,1683489600000,0,0
.TUSDTMFPI8H,TUSDTM,28800000,1683489600000,0.000098,-0.000134
.LQTYUSDTMFPI8H,LQTYUSDTM,28800000,1683489600000,-0.000036,-0.000166
.ARBUSDTMFPI8H,ARBUSDTM,28800000,1683489600000,0.0001,0.0001
.DARUSDTMFPI8H,DARUSDTM,28800000,1683489600000,0.0001,0.0001
.IDUSDTMFPI8H,IDUSDTM,28800000,1683489600000,0.0001,0.0001
.STGUSDTMFPI8H,STGUSDTM,28800000,1683489600000,0.0001,-0.000128
.JOEUSDTMFPI8H,JOEUSDTM,28800000,1683489600000,0.0001,0.0001
.RDNTUSDTMFPI8H,RDNTUSDTM,28800000,1683489600000,-0.000023,0.000038
.DODOUSDTMFPI8H,DODOUSDTM,28800000,1683489600000,0.0001,0.0001
.PAXGUSDTMFPI8H,PAXGUSDTM,28800000,1683489600000,0.0001,0.0001
.ZRXUSDTMFPI8H,ZRXUSDTM,28800000,1683489600000,0.0001,0.0001
.ICXUSDTMFPI8H,ICXUSDTM,28800000,1683489600000,0.0001,0.0001
.HFTUSDTMFPI8H,HFTUSDTM,28800000,1683489600000,0.0001,0.0001
.NKNUSDTMFPI8H,NKNUSDTM,28800000,1683489600000,0.0001,0.0001
.HOOKUSDTMFPI8H,HOOKUSDTM,28800000,1683489600000,0.0001,0.0001
.ANTUSDTMFPI8H,ANTUSDTM,28800000,1683489600000,0.0001,0.0001
.ERNUSDTMFPI8H,ERNUSDTM,28800000,1683489600000,0.0001,0.0001
.DCUSDTMFPI8H,DCUSDTM,28800000,1683489600000,0.0001,0.0001
.BELUSDTMFPI8H,BELUSDTM,28800000,1683489600000,-0.000317,0.0001
.SUIUSDTMFPI8H,SUIUSDTM,28800000,1683489600000,0.000134,0.0001
.PEPEUSDTMFPI8H,PEPEUSDTM,28800000,1683489600000,0.0001,0.0001
